Title,Price,Link,Image URL,Description,Seller,Location,Bids,Time Left,Seller Rating,Shipping Info,Query Date
Smartphone Google Pixel 7 Pro - 256GB - Blanco (Desbloqueado) - Excelente Estado,"306,02 EUR",https://www.ebay.es/itm/276748697098,https://i.ebayimg.com/images/g/TeMAAOSwRclnQyCW/s-l500.jpg,No description available,ellielewisjosh (556) 100%,desde Reino Unido,14 pujas,Time remaining unknown,No reviews,"+ 28,60 EUR de envío estimado",2024-11-28
Google Pixel 7 Pro GP4BC - 128 GB - Obsidiana (sin bloqueo de SIM) (Doble SIM),"207,00 EUR",https://www.ebay.es/itm/276732931725,https://i.ebayimg.com/images/g/SxgAAOSwPCJnLk8y/s-l500.jpg,No description available,digga17388 (75) 100%,desde Alemania,23 pujas,Time remaining unknown,No reviews,"+ 14,49 EUR de envío",2024-11-28
Google Pixel 7 Pro GP4BC - 128 GB - Obsidiana (Desbloqueado),"288,02 EUR",https://www.ebay.es/itm/296812928122,https://i.ebayimg.com/images/g/YFUAAOSwBslnM5tl/s-l140.jpg,No description available,retnevjon (801) 100%,desde Reino Unido,48 pujas,Time remaining unknown,No reviews,"+ 31,79 EUR de envío estimado",2024-11-28
Google Pixel 7 Pro - 128 GB - Obsidiana (Desbloqueado) - Usado Excelente Estado,"216,01 EUR",https://www.ebay.es/itm/126777101358,https://i.ebayimg.com/images/g/KPwAAOSwETJnNdoc/s-l140.jpg,No description available,the_analog_kid (563) 100%,desde Reino Unido,1 puja,Time remaining unknown,No reviews,"+ 25,49 EUR de envío estimado",2024-11-28
Google Pixel 7 Pro GP4BC - 128 GB - Obsidiana (Desbloqueado),"204,01 EUR",https://www.ebay.es/itm/256690506507,https://i.ebayimg.com/images/g/KLAAAOSwZAtnAWEv/s-l140.jpg,No description available,the.jock (820) 100%,desde Reino Unido,1 puja,Time remaining unknown,No reviews,"+ 35,19 EUR de envío estimado",2024-11-28
Google Pixel 7 Pro GP4BC - 128 GB - Obsidiana (Desbloqueado),"228,01 EUR",https://www.ebay.es/itm/286118517873,https://i.ebayimg.com/images/g/vMcAAOSw~y1nFTgu/s-l140.jpg,No description available,brocka2013 (1.352) 100%,desde Reino Unido,15 pujas,Time remaining unknown,No reviews,"+ 29,73 EUR de envío estimado",2024-11-28
Google Pixel 7 Pro GP4BC - 128 GB - Obsidiana (Desbloqueado),"205,90 EUR",https://www.ebay.es/itm/286118515256,https://i.ebayimg.com/images/g/JhAAAOSwsOBnFTUH/s-l140.jpg,No description available,brocka2013 (1.352) 100%,desde Reino Unido,21 pujas,Time remaining unknown,No reviews,"+ 28,96 EUR de envío estimado",2024-11-28
Google Pixel 7 Pro 128GB 12GB OBSIDIANA Desbloqueado Excelente Estado + Envío Rápido,"210,01 EUR",https://www.ebay.es/itm/387498470577,https://i.ebayimg.com/images/g/2EgAAOSw0QlnD-7y/s-l140.jpg,No description available,magicukseller (103) 100%,desde Reino Unido,9 pujas,Time remaining unknown,No reviews,"+ 32,69 EUR de envío estimado",2024-11-28
Google Pixel 7 Pro GP4BC - 128 GB - Obsidiana (Desbloqueado),"240,02 EUR",https://www.ebay.es/itm/186737133025,https://i.ebayimg.com/images/g/JvcAAOSw5OpnADLc/s-l140.jpg,No description available,mccabe*2009 (102) 100%,desde Reino Unido,1 puja,Time remaining unknown,No reviews,"+ 36,43 EUR de envío estimado",2024-11-28
Google Pixel 7 Pro 128 GB - Negro (Desbloqueado) + Fundas 99p Inicio Sin Reserva,"270,02 EUR",https://www.ebay.es/itm/286113928229,https://i.ebayimg.com/images/g/ptoAAOSwz05nEWat/s-l140.jpg,No description available,"daisydeegan (3.049) 99,2%",desde Reino Unido,43 pujas,Time remaining unknown,No reviews,"+ 30,13 EUR de envío estimado",2024-11-28
